eval_loss,eval_mIoU,eval_recall,eval_precision,eval_f1,eval_iou,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.09838863462209702,0.7628238797187805,0.8054900169372559,0.9179823994636536,0.8511885404586792,0.5663661956787109,0.961337685585022,50.1417,20.143,0.858,1.0
0.07949917018413544,0.817560076713562,0.8946115970611572,0.8900388479232788,0.8923085927963257,0.6698576211929321,0.9675496220588684,49.4053,20.443,0.87,2.0
0.06994883716106415,0.8282648324966431,0.8744232654571533,0.9290139675140381,0.899459183216095,0.6866041421890259,0.9717845320701599,49.7694,20.294,0.864,3.0
0.062011249363422394,0.8520107269287109,0.907152533531189,0.9241437315940857,0.915434718132019,0.7306408882141113,0.9751730561256409,49.8465,20.262,0.863,4.0
0.05656048282980919,0.8647261261940002,0.9198938608169556,0.927486777305603,0.9236484169960022,0.7538129687309265,0.9773302674293518,48.3168,20.904,0.89,5.0
0.05437661334872246,0.87031489610672,0.9154634475708008,0.939688503742218,0.9271563291549683,0.763412356376648,0.9787775874137878,50.5294,19.988,0.851,6.0
0.052047524601221085,0.8764431476593018,0.9227163195610046,0.9397123456001282,0.9310092926025391,0.7746734619140625,0.979731023311615,50.5028,19.999,0.851,7.0
0.049947693943977356,0.8824992179870605,0.9288472533226013,0.940893828868866,0.9347683191299438,0.7857394814491272,0.980725109577179,49.9887,20.205,0.86,8.0
0.049664150923490524,0.8857743740081787,0.9361177682876587,0.9374730587005615,0.936794102191925,0.7919197082519531,0.9810947179794312,51.2046,19.725,0.84,9.0
0.04945980757474899,0.8864659070968628,0.9333155155181885,0.9411875009536743,0.9372080564498901,0.7930087447166443,0.9813570976257324,50.1604,20.135,0.857,10.0
