eval_loss,eval_mIoU,eval_recall,eval_precision,eval_f1,eval_iou,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.09566479921340942,0.7761750817298889,0.8276004195213318,0.90611332654953,0.8617405891418457,0.5919567346572876,0.9625454545021057,29.4029,34.35,1.088,1.0
0.08245980739593506,0.8118743300437927,0.8892929553985596,0.8873545527458191,0.8883207440376282,0.6596196293830872,0.9664604663848877,29.6231,34.095,1.08,2.0
0.07198676466941833,0.8271574974060059,0.885951817035675,0.9127523303031921,0.8987991809844971,0.6856563687324524,0.9706640839576721,29.2439,34.537,1.094,3.0
0.06719208508729935,0.8369390964508057,0.8848471641540527,0.9288095235824585,0.9053782820701599,0.7026044130325317,0.973099410533905,29.3155,34.453,1.092,4.0
0.061028819531202316,0.8519004583358765,0.9000085592269897,0.9321607351303101,0.9153250455856323,0.7299538850784302,0.9755737781524658,29.7924,33.901,1.074,5.0
0.0573081411421299,0.861905574798584,0.9110113382339478,0.9333466291427612,0.9218170642852783,0.7482912540435791,0.9771806597709656,29.743,33.958,1.076,6.0
0.055723752826452255,0.8658726215362549,0.9117523431777954,0.9379137754440308,0.9243404865264893,0.7553374171257019,0.9780095815658569,29.7112,33.994,1.077,7.0
0.053803350776433945,0.8709768652915955,0.9178709387779236,0.9378628730773926,0.9275809526443481,0.7647233009338379,0.9787994623184204,29.7664,33.931,1.075,8.0
0.05286135524511337,0.874454140663147,0.9232110977172852,0.9365922212600708,0.9297739267349243,0.7711789608001709,0.9792842268943787,29.8028,33.889,1.074,9.0
0.052861861884593964,0.8757162094116211,0.9272230863571167,0.9339884519577026,0.9305731058120728,0.7736344933509827,0.979363739490509,29.6585,34.054,1.079,10.0
