eval_loss,eval_mIoU,eval_recall,eval_precision,eval_f1,eval_iou,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.2371569722890854,0.7742106318473816,0.8539925217628479,0.8792451024055481,0.865849494934082,0.6359372735023499,0.9240886569023132,35.689,60.271,0.504,1.0
0.18866951763629913,0.7868329286575317,0.8557530045509338,0.8971123695373535,0.8744739294052124,0.6539238691329956,0.9303103685379028,36.0071,59.738,0.5,2.0
0.19081148505210876,0.7983276844024658,0.8982517719268799,0.8698445558547974,0.8830549120903015,0.6804301142692566,0.9289065003395081,36.4025,59.089,0.494,3.0
0.15836744010448456,0.808190107345581,0.874566376209259,0.9057570695877075,0.8890812397003174,0.6888344287872314,0.9375606179237366,36.4097,59.078,0.494,4.0
0.16189409792423248,0.8144594430923462,0.9040372371673584,0.8842037320137024,0.8936585783958435,0.704207181930542,0.9361553192138672,36.4493,59.014,0.494,5.0
0.14668624103069305,0.8178722858428955,0.8820813894271851,0.9107385873794556,0.8955123424530029,0.7044407725334167,0.9409690499305725,35.7337,60.195,0.504,6.0
0.1443256139755249,0.821399450302124,0.8839818835258484,0.913547933101654,0.8978172540664673,0.7099593281745911,0.9423215985298157,36.3853,59.117,0.495,7.0
0.1400354504585266,0.8266633749008179,0.8927945494651794,0.910529613494873,0.9013192057609558,0.7194015979766846,0.9434970617294312,36.139,59.52,0.498,8.0
0.1393517255783081,0.8289740085601807,0.8966845273971558,0.9093540906906128,0.9028439521789551,0.723528265953064,0.9440262317657471,36.4637,58.99,0.494,9.0
0.1375061273574829,0.830241322517395,0.8959234952926636,0.9119083881378174,0.9036387205123901,0.7252295017242432,0.9447029232978821,36.1298,59.535,0.498,10.0
