eval_loss,eval_mIoU,eval_recall,eval_precision,eval_f1,eval_iou,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.2016170769929886,0.7602301836013794,0.8355631828308105,0.8757662773132324,0.8539234399795532,0.5969499349594116,0.9312939643859863,51.5703,61.295,0.524,1.0
0.17631895840168,0.7576030492782593,0.8183532953262329,0.8976343274116516,0.8514898419380188,0.5887765288352966,0.9334406852722168,51.2675,61.657,0.527,2.0
0.14426511526107788,0.7976412773132324,0.8700554370880127,0.8927116990089417,0.8808660507202148,0.6599600315093994,0.9425358772277832,51.648,61.203,0.523,3.0
0.1371578872203827,0.8040168285369873,0.8739166259765625,0.8976892232894897,0.8852415084838867,0.6703334450721741,0.9447049498558044,51.9627,60.832,0.52,4.0
0.13179098069667816,0.8079651594161987,0.8722554445266724,0.9056477546691895,0.887863039970398,0.6760460734367371,0.9465852379798889,51.5686,61.297,0.524,5.0
0.12804409861564636,0.8107429146766663,0.8703582286834717,0.9124273061752319,0.8896894454956055,0.6799660325050354,0.9479829668998718,52.0252,60.759,0.519,6.0
0.12414100766181946,0.8175366520881653,0.8795323371887207,0.9110441207885742,0.8943355083465576,0.6920077204704285,0.9495226740837097,52.1988,60.557,0.517,7.0
0.12249583005905151,0.8205654621124268,0.8845837116241455,0.9093958139419556,0.8963987827301025,0.6975168585777283,0.9501020312309265,52.0085,60.779,0.519,8.0
0.12147452682256699,0.8247914910316467,0.8949912786483765,0.9037501811981201,0.8992966413497925,0.7057057023048401,0.9505344033241272,51.8801,60.929,0.52,9.0
0.12060171365737915,0.8217291831970215,0.8816044926643372,0.9147248268127441,0.897122323513031,0.6988280415534973,0.9509342312812805,51.8171,61.003,0.521,10.0
